name,time_period
"An, Brian P.",2012-2016
"An, Brian P.",2013-2017
"An, Brian P.",2014-2018
"An, Brian P.",2015-2019
"An, Brian P.",2016-2020
"An, Brian P.",2017-2021
"An, Brian P.",2020-2024
"Bai, Li",2009-2013
"Bai, Li",2010-2014
"Bai, Li",2011-2015
"Bai, Li",2012-2016
"Bai, Li",2018-2022
"Bai, Li",2019-2023
"Bai, Li",2020-2024
"Bai, Qiong",2020-2024
"Bao, Lei",2016-2020
"Bao, Lei",2017-2021
"Bao, Lei",2018-2022
"Bao, Lei",2019-2023
"Bao, Lei",2020-2024
"Cai, Jinfa",2017-2021
"Cai, Jinfa",2018-2022
"Cai, Jinfa",2019-2023
"Cai, Jinfa",2020-2024
"Cai, Yuzhuo",2009-2013
"Cai, Yuzhuo",2010-2014
"Cai, Yuzhuo",2011-2015
"Cai, Yuzhuo",2012-2016
"Cai, Yuzhuo",2013-2017
"Cai, Yuzhuo",2014-2018
"Cai, Yuzhuo",2018-2022
"Cai, Yuzhuo",2019-2023
"Cai, Yuzhuo",2020-2024
"Chai, Ching -Sing",2007-2011
"Chai, Ching -Sing",2008-2012
"Chai, Ching -Sing",2009-2013
"Chai, Ching -Sing",2010-2014
"Chai, Ching -Sing",2011-2015
"Chai, Ching -Sing",2012-2016
"Chai, Ching -Sing",2013-2017
"Chai, Ching -Sing",2014-2018
"Chai, Ching -Sing",2015-2019
"Chai, Ching -Sing",2016-2020
"Chai, Ching -Sing",2017-2021
"Chai, Ching -Sing",2018-2022
"Chai, Ching -Sing",2019-2023
"Chai, Ching -Sing",2020-2024
"Chai, Ching-Sing",2019-2023
"Chai, Ching-Sing",2020-2024
"Chang, Anna",2016-2020
"Chang, Anna",2017-2021
"Chang, Anna",2018-2022
"Chang, Anna",2019-2023
"Chang, Anna",2020-2024
"Chang, Aurora",2013-2017
"Chang, Aurora",2014-2018
"Chang, Aurora",2015-2019
"Chang, Aurora",2016-2020
"Chang, Ethan",2018-2022
"Chang, Ethan",2019-2023
"Chang, Ethan",2020-2024
"Chang, MJ",1998-2002
"Chang, MJ",1999-2003
"Chang, MJ",2000-2004
"Chang, Mitchell J.",2007-2011
"Chang, Mitchell J.",2008-2012
"Chang, Shine",2010-2014
"Chang, Shine",2011-2015
"Chang, Yunjeong",2020-2024
"Chen, Aleda M. H.",2013-2017
"Chen, Aleda M. H.",2014-2018
"Chen, Aleda M. H.",2015-2019
"Chen, Aleda M. H.",2016-2020
"Chen, Aleda M. H.",2017-2021
"Chen, Aleda M. H.",2018-2022
"Chen, Aleda M. H.",2019-2023
"Chen, Aleda M. H.",2020-2024
"Chen, Baiyun",2016-2020
"Chen, Baiyun",2017-2021
"Chen, Baiyun",2018-2022
"Chen, Bo",2020-2024
"Chen, Bodong",2015-2019
"Chen, Bodong",2016-2020
"Chen, Bodong",2017-2021
"Chen, Bodong",2018-2022
"Chen, Bodong",2019-2023
"Chen, Bodong",2020-2024
"Chen, Chen",2014-2018
"Chen, Chen",2015-2019
"Chen, Chen",2016-2020
"Chen, Chen",2017-2021
"Chen, Chen",2018-2022
"Chen, Chen",2019-2023
"Chen, Chen",2020-2024
"Chen, H. Carrie",2010-2014
"Chen, H. Carrie",2012-2016
"Chen, H. Carrie",2013-2017
"Chen, H. Carrie",2014-2018
"Chen, H. Carrie",2015-2019
"Chen, H. Carrie",2016-2020
"Chen, H. Carrie",2017-2021
"Chen, H. Carrie",2019-2023
"Chen, Hui",2020-2024
"Chen, Jie",2019-2023
"Chen, Jie",2020-2024
"Chen, Jin",2017-2021
"Chen, Jing",2018-2022
"Chen, Jing",2019-2023
"Chen, Jing",2020-2024
"Chen, Juebei",2019-2023
"Chen, Juebei",2020-2024
"Chen, Junjun",2010-2014
"Chen, Junjun",2011-2015
"Chen, Junjun",2012-2016
"Chen, Junjun",2013-2017
"Chen, Junjun",2020-2024
"Chen, Li",2013-2017
"Chen, Li",2014-2018
"Chen, Li",2015-2019
"Chen, Li",2016-2020
"Chen, Li",2017-2021
"Chen, Li",2019-2023
"Chen, Lilan",2018-2022
"Chen, Lilan",2019-2023
"Chen, Lilan",2020-2024
"Chen, Lin",2020-2024
"Chen, Ning",2019-2023
"Chen, Ning",2020-2024
"Chen, Rong",2018-2022
"Chen, Rong",2019-2023
"Chen, Rong",2020-2024
"Chen, Shu-Ping",2020-2024
"Chen, Sufen",2009-2013
"Chen, Sufen",2012-2016
"Chen, Wei",2017-2021
"Chen, Wei",2018-2022
"Chen, Wei",2020-2024
"Chen, Weiyun",2020-2024
"Chen, Wenli",2017-2021
"Chen, Wenli",2018-2022
"Chen, Wenli",2019-2023
"Chen, Wenli",2020-2024
"Chen, Wenqian",2016-2020
"Chen, Xiao-Yin",2020-2024
"Chen, Xin",2020-2024
"Chen, Xinnian",2017-2021
"Chen, Xinnian",2018-2022
"Chen, Yan",2017-2021
"Chen, Yan",2018-2022
"Chen, Yan",2019-2023
"Chen, Yan",2020-2024
"Chen, Ying",2018-2022
"Chen, Ying",2019-2023
"Chen, Ying",2020-2024
"Chen, Ying-Chih",2020-2024
"Chen, Yong",2013-2017
"Chen, Yong",2014-2018
"Chen, Yu",2018-2022
"Chen, Yu",2019-2023
"Chen, Yu",2020-2024
"Chen, Yu (April)",2013-2017
"Chen, Yu (April)",2014-2018
"Chen, Yu (April)",2015-2019
"Chen, Yu (April)",2016-2020
"Chen, Yu (April)",2017-2021
"Chen, Yue",2018-2022
"Chen, Yuxin",2020-2024
"Cheng, Albert",2017-2021
"Cheng, Albert",2019-2023
"Cheng, Hsiu-Lan",2016-2020
"Cheng, Hsiu-Lan",2017-2021
"Cheng, Li",2016-2020
"Cheng, Li",2017-2021
"Cheng, Li",2018-2022
"Cheng, Li",2019-2023
"Cheng, Li",2020-2024
"Cheng, Liying",2011-2015
"Cheng, Liying",2012-2016
"Cheng, Liying",2013-2017
"Cheng, Ming",2008-2012
"Cheng, Ming",2009-2013
"Cheng, Ming",2010-2014
"Cheng, Ming",2014-2018
"Cheng, Ming",2015-2019
"Cheng, Ming",2016-2020
"Cheng, Ming",2017-2021
"Cheng, Ming",2018-2022
"Cheng, Ming",2019-2023
"Cheng, Ming",2020-2024
"Cheng, Ying",2018-2022
"Cheng, Ying",2019-2023
"Cheng, Ying",2020-2024
"Cheng, Zui",2016-2020
"Cheng, Zui",2017-2021
"Cheng, Zui",2018-2022
"Cheng, Zui",2019-2023
"Cheng, Zui",2020-2024
"Chong, Sin Wang",2016-2020
"Chong, Sin Wang",2017-2021
"Chong, Sin Wang",2018-2022
"Chong, Sin Wang",2019-2023
"Chong, Sin Wang",2020-2024
"Chu, Tsz Lun (Alan)",2020-2024
"Cui, Yaqiong",2020-2024
"Dai, Kun",2016-2020
"Dai, Kun",2017-2021
"Dai, Kun",2018-2022
"Dai, Kun",2019-2023
"Dai, Kun",2020-2024
"Dai, Ting",2017-2021
"Dai, Ting",2018-2022
"Dai, Ting",2019-2023
"Dai, Ting",2020-2024
"Dai, Yun",2019-2023
"Dai, Yun",2020-2024
"Dang, Thi Ngoc Yen",2020-2024
"Ding, Lin",2010-2014
"Ding, Lin",2011-2015
"Ding, Lin",2012-2016
"Ding, Lin",2013-2017
"Ding, Lin",2014-2018
"Ding, Lin",2015-2019
"Ding, Lin",2016-2020
"Ding, Lu",2017-2021
"Ding, Lu",2018-2022
"Ding, Yi",2015-2019
"Ding, Yi",2016-2020
"Ding, Yi",2017-2021
"Ding, Yi",2018-2022
"Ding, Yi",2019-2023
"Dong, Shengli",2020-2024
"Dong, Ting",2010-2014
"Dong, Ting",2011-2015
"Dong, Ting",2012-2016
"Dong, Ting",2013-2017
"Dong, Ting",2014-2018
"Dong, Ting",2016-2020
"Dong, Ting",2017-2021
"Dong, Ting",2018-2022
"Dong, Ting",2019-2023
"Dong, Ting",2020-2024
"Dou, Remy",2015-2019
"Dou, Remy",2016-2020
"Dou, Remy",2017-2021
"Dou, Remy",2018-2022
"Dou, Remy",2019-2023
"Dou, Remy",2020-2024
"Du, Qian",2020-2024
"Du, Xiang-Yun",2016-2020
"Du, Xiang-Yun",2017-2021
"Du, Xiang-Yun",2018-2022
"Du, Xiang-Yun",2019-2023
"Du, Xiang-Yun",2020-2024
"Er, Erkan",2020-2024
"Er, Hui Meng",2019-2023
"Er, Hui Meng",2020-2024
"Fan, Si",2020-2024
"Fan, Weihua",2017-2021
"Fan, Weihua",2018-2022
"Fan, Xitao",2013-2017
"Fan, Xitao",2014-2018
"Fan, Xitao",2015-2019
"Fan, Xitao",2016-2020
"Fan, Xitao",2017-2021
"Fan, Xumei",2020-2024
"Fan, Yizhou",2020-2024
"Fang, Fan",2019-2023
"Fang, Fan",2020-2024
"Fang, Fan (Gabriel)",2016-2020
"Fang, Fan (Gabriel)",2017-2021
"Fang, Fan (Gabriel)",2018-2022
"Fang, Ning",2008-2012
"Fang, Ning",2009-2013
"Fang, Ning",2010-2014
"Fang, Ning",2011-2015
"Fang, Ning",2012-2016
"Fang, Ning",2013-2017
"Fang, Ning",2014-2018
"Fang, Ning",2015-2019
"Fang, Ning",2016-2020
"Fang, Ning",2017-2021
"Fang, Ning",2018-2022
"Fang, Ning",2019-2023
"Fang, Ning",2020-2024
"Fang, Yanping",2020-2024
"Gao, Catherine Yuan",2020-2024
"Gao, Fei",2013-2017
"Gao, Fei",2014-2018
"Gao, Fei",2015-2019
"Gao, Fei",2016-2020
"Gao, Fei",2017-2021
"Gao, Fei",2018-2022
"Gao, Fei",2019-2023
"Gao, Fei",2020-2024
"Gao, Ruiqin",2017-2021
"Gao, Ruiqin",2018-2022
"Gao, Ruiqin",2019-2023
"Gao, Ruiqin",2020-2024
"Gao, Xuesong",2014-2018
"Gao, Xuesong",2015-2019
"Gao, Xuesong (Andy)",2017-2021
"Gao, Xuesong (Andy)",2018-2022
"Gao, Xuesong (Andy)",2019-2023
"Gao, Xuesong (Andy)",2020-2024
"Gao, Yang",2020-2024
"Gao, Yuan",2015-2019
"Gao, Yuan",2017-2021
"Gao, Yuan",2018-2022
"Gao, Yuan",2019-2023
"Gao, Yuan",2020-2024
"Geng, Gretchen",2013-2017
"Gong, Hee Jung",2020-2024
"Gong, Jennifer",2016-2020
"Gong, Jennifer",2017-2021
"Gu, Michelle Mingyue",2019-2023
"Gu, Michelle Mingyue",2020-2024
"Gu, Qing",2005-2009
"Gu, Qing",2006-2010
"Gu, Qing",2007-2011
"Gu, Qing",2008-2012
"Guo, Jiajun",2018-2022
"Guo, Lin",2019-2023
"Guo, Lin",2020-2024
"Guo, Yan",2018-2022
"Guo, Yan",2019-2023
"Guo, Yan",2020-2024
"Guo, Ying",2019-2023
"Guo, Ying",2020-2024
"Ha, Eun-Ho",2014-2018
"Ha, Minsu",2010-2014
"Ha, Minsu",2011-2015
"Ha, Minsu",2012-2016
"Ha, Minsu",2014-2018
"Ha, Minsu",2017-2021
"Ha, Minsu",2018-2022
"Ha, Minsu",2019-2023
"Ha, Minsu",2020-2024
"Ha, Nguyen Thi Ngoc",2020-2024
"Ha, Phan Le",2019-2023
"Han, Chao",2017-2021
"Han, Chao",2018-2022
"Han, Cheon-Woo",2017-2021
"Han, Cheon-Woo",2018-2022
"Han, Feifei",2016-2020
"Han, Feifei",2017-2021
"Han, Feifei",2018-2022
"Han, Feifei",2019-2023
"Han, Feifei",2020-2024
"Han, Heeyoung",2012-2016
"Han, Heeyoung",2019-2023
"Han, Heeyoung",2020-2024
"Han, Insook",2018-2022
"Han, Insook",2019-2023
"Han, Jaeyun",2019-2023
"Han, Jaeyun",2020-2024
"Han, Shuangmiao",2016-2020
"Han, Shuangmiao",2017-2021
"Han, Shuangmiao",2018-2022
"Han, Shuangmiao",2019-2023
"Han, Shuangmiao",2020-2024
"Han, Suejung",2013-2017
"Han, Xiao",2015-2019
"Han, Xiao",2016-2020
"Han, Xiao",2020-2024
"He, Dan",2020-2024
"He, Hao",2020-2024
"He, Peng",2020-2024
"He, Tao",2017-2021
"He, Tao",2018-2022
"He, Tao",2019-2023
"He, Tao",2020-2024
"He, Wei",2020-2024
"He, Wenliang",2012-2016
"He, Wenliang",2013-2017
"He, Wenliang",2014-2018
"He, Wu",2009-2013
"He, Wu",2010-2014
"He, Wu",2011-2015
"Heng, Kimkong",2020-2024
"Heng, Leechin",2020-2024
"Heng, Tang T.",2015-2019
"Heng, Tang T.",2016-2020
"Heng, Tang T.",2017-2021
"Heng, Tang T.",2018-2022
"Hong, Hun-Gi",2020-2024
"Hong, Min",2020-2024
"Hong, Wei-Han",2018-2022
"Hong, Wei-Han",2019-2023
"Hong, Wei-Han",2020-2024
"Hou, Minghui",2020-2024
"Hu, Die",2018-2022
"Hu, Guangwei",2010-2014
"Hu, Guangwei",2011-2015
"Hu, Guangwei",2012-2016
"Hu, Guangwei",2013-2017
"Hu, Guangwei",2014-2018
"Hu, Guangwei",2015-2019
"Hu, Guangwei",2016-2020
"Hu, Guangwei",2017-2021
"Hu, Guangwei",2018-2022
"Hu, Guangwei",2019-2023
"Hu, Guangwei",2020-2024
"Hu, Jie",2020-2024
"Hu, SP",1998-2002
"Hu, SP",1999-2003
"Hu, SP",2000-2004
"Hu, SP",2001-2005
"Hu, Shouping",2006-2010
"Hu, Shouping",2007-2011
"Hu, Shouping",2008-2012
"Hu, Shouping",2009-2013
"Hu, Shouping",2010-2014
"Hu, Shouping",2011-2015
"Hu, Shouping",2012-2016
"Hu, Shouping",2013-2017
"Hu, Shouping",2014-2018
"Hu, Shouping",2015-2019
"Hu, Shouping",2016-2020
"Hu, Shouping",2017-2021
"Hu, Shouping",2018-2022
"Hu, Shouping",2019-2023
"Hu, Shouping",2020-2024
"Hu, Sihua",2017-2021
"Hu, Sihua",2018-2022
"Hu, Sihua",2019-2023
"Hu, Wendy",2013-2017
"Hu, Wendy",2014-2018
"Hu, Wendy",2015-2019
"Hu, Wendy",2016-2020
"Hu, Wendy",2017-2021
"Hu, Wendy",2018-2022
"Hu, Wendy",2019-2023
"Hu, Wendy",2020-2024
"Hu, Wendy C. Y.",2019-2023
"Hu, Xiaodan",2015-2019
"Hu, Xiaodan",2016-2020
"Hu, Xiaodan",2017-2021
"Hu, Xiaodan",2018-2022
"Hu, Xiaodan",2019-2023
"Hu, Xiaodan",2020-2024
"Huang, Francis L.",2014-2018
"Huang, Francis L.",2016-2020
"Huang, Futao",2011-2015
"Huang, Futao",2014-2018
"Huang, Futao",2015-2019
"Huang, Futao",2016-2020
"Huang, Futao",2017-2021
"Huang, Futao",2018-2022
"Huang, Futao",2019-2023
"Huang, Futao",2020-2024
"Huang, Grace C.",2015-2019
"Huang, Grace C.",2016-2020
"Huang, Grace C.",2018-2022
"Huang, Grace C.",2019-2023
"Huang, Grace C.",2020-2024
"Huang, Jian-Hao",2020-2024
"Huang, Jing",2020-2024
"Huang, Rong",2016-2020
"Huang, Rongjin",2020-2024
"Huang, Rui",2020-2024
"Huang, Ting",2020-2024
"Huang, Wen-Hao David",2010-2014
"Huang, Wen-Hao David",2011-2015
"Huang, Xiaoshan",2020-2024
"Huang, Yan",2019-2023
"Huang, Yan",2020-2024
