year,country,people_count
1991,United States,3
2000,United States,28
2000,Singapore,7
2000,Canada,2
2000,Australia,1
2000,United Kingdom,1
2010,United States,158
2010,China,31
2010,United Kingdom,21
2010,Canada,14
2010,Singapore,14
2010,Australia,12
2010,Malaysia,7
2010,South Korea,6
2010,Belgium,1
2010,Finland,1
2010,India,1
2010,Indonesia,1
2010,Ireland,1
2010,Israel,1
2010,Italy,1
2010,New Zealand,1
2010,Norway,1
2010,Thailand,1
2010,United Arab Emirates,1
2020,United States,579
2020,China,183
2020,Canada,79
2020,Australia,78
2020,United Kingdom,41
2020,Singapore,38
2020,South Korea,36
2020,New Zealand,25
2020,Malaysia,19
2020,Netherlands,11
2020,Japan,10
2020,Germany,9
2020,India,4
2020,Thailand,4
2020,Belgium,3
2020,Norway,3
2020,Denmark,2
2020,Turkey,2
2020,Vietnam,2
2020,Brunei,1
2020,Czech Republic,1
2020,Finland,1
2020,France,1
2020,Ghana,1
2020,Israel,1
2020,Mongolia,1
2020,Philippines,1
2020,Qatar,1
2020,Russia,1
2020,Saudi Arabia,1
2020,South Africa,1
2020,Spain,1
2020,Sweden,1
2020,United Arab Emirates,1
2024,United States,1057
2024,China,521
2024,Australia,153
2024,United Kingdom,147
2024,Malaysia,107
2024,Canada,99
2024,Singapore,93
2024,South Korea,67
2024,Japan,52
2024,Thailand,45
2024,Vietnam,40
2024,New Zealand,34
2024,Finland,16
2024,Germany,14
2024,Netherlands,14
2024,India,7
2024,South Africa,7
2024,Spain,7
2024,Ireland,6
2024,Philippines,6
2024,Russia,6
2024,Norway,5
2024,Belgium,4
2024,Denmark,4
2024,Sweden,4
2024,Ukraine,4
2024,France,3
2024,Italy,3
2024,Mexico,3
2024,Turkey,3
2024,United Arab Emirates,3
2024,Brazil,2
2024,Brunei,2
2024,Cambodia,2
2024,Czech Republic,2
2024,Switzerland,2
2024,Chile,1
2024,Hungary,1
2024,Indonesia,1
2024,Myanmar,1
2024,Panama,1
2024,Portugal,1
2024,Qatar,1
2024,Slovenia,1
