Author,Total_Papers,Collaboration_Papers,Collaboration_Rate
"Chao, Tracy",2,0,0.0
"Yan, D",1,0,0.0
"Yang, GZ",1,0,0.0
"Lang, F",2,0,0.0
"Li, X.",2,0,0.0
"Chao, Chia-An",1,0,0.0
"He, Q",1,0,0.0
"Cheng, YW",1,0,0.0
"Zhang, L",1,0,0.0
"Weng, HY",1,0,0.0
"Chen, BM",2,2,1.0
"Chen, JP",2,2,1.0
"Tan, KC",3,3,1.0
"Zhang, J",3,1,0.3333
"Shen, LN",1,0,0.0
"Wang, Ting",7,2,0.2857
"Zhang, Shujie",1,1,1.0
"Xu, WL",2,0,0.0
"Li, Jun",2,0,0.0
"Yan, Miu",1,0,0.0
"Cai, Jinfa",16,5,0.3125
"He, Yan",2,1,0.5
"Long, JF",1,0,0.0
"Tai, RH",3,0,0.0
"Qiu, Xuemei",1,0,0.0
"Liu, JM",1,0,0.0
"Hu, Jing",1,0,0.0
"Ma, XG",1,0,0.0
"Zhou, MM",1,0,0.0
"Chen, Louis",1,0,0.0
"Wei, Yingqi",1,0,0.0
"Chen, Eva",1,0,0.0
"Chang, YJ",1,0,0.0
"Liao, CY",1,0,0.0
"Zhou, Shufeng",1,0,0.0
"Chang, JC",1,0,0.0
"Chao, PC",1,0,0.0
"Chen, PH",1,0,0.0
"Gan, YH",1,1,1.0
"Tang, BL",2,2,1.0
"Fang, Xiang",1,0,0.0
"Dong, ZY",1,0,0.0
"Ji, Peter",2,0,0.0
"Huang, Jiunn",1,0,0.0
"Duan, LP",1,1,1.0
"Tang, TS",3,1,0.3333
"Ha, Sang-Jin",1,0,0.0
"Teng, FYH",1,1,1.0
"Chen, WF",1,0,0.0
"Wang, YY",1,0,0.0
"Zhou, W.",1,0,0.0
"Kang, Soo K.",1,0,0.0
"Wang, YK",1,0,0.0
"Guan, JM",2,1,0.5
"Hui, YJ",1,0,0.0
"Zhang, Dalun",5,2,0.4
"Chen, WH",1,0,0.0
"Wei, MF",7,1,0.1429
"Du, YZ",1,0,0.0
"Cheng, Gary J.",1,1,1.0
"Yao, Y. Lawrence",1,1,1.0
"Zhang, Wenwu",1,1,1.0
"Wang, M",3,1,0.3333
"Leng, Ng Wee",2,1,0.5
"Sun, Yap Yew",1,1,1.0
"Chao, Kuo-Ming",1,0,0.0
"Ding, CS",1,0,0.0
"Hu, Bo",4,2,0.5
"Chen, CS",1,1,1.0
"Dong, Q",1,1,1.0
"Xue, G",1,1,1.0
"Chang, F",1,0,0.0
"Tan, Grace",8,0,0.0
"Chen, Sherry Y.",1,0,0.0
"Yuan, M",1,0,0.0
"Li, Xin",8,3,0.375
"Chen, Irene",1,0,0.0
"Lin, L.",1,0,0.0
"Cheng, C",1,0,0.0
"Wang, Gabe",1,0,0.0
"Liu, LQ",1,0,0.0
"Su, J",2,0,0.0
"Wang, Yu-Mei",1,0,0.0
"Lai, FC",1,0,0.0
"Gao, Y",1,1,1.0
"Yang, G",1,1,1.0
"Su, Bude",1,0,0.0
"Liang, CTH",2,1,0.5
"Hong, SH",1,0,0.0
"Zhang, L.",5,1,0.2
"Chen, YQ",1,0,0.0
"Chen, ZY",1,0,0.0
"Mi, CT",1,1,1.0
"Shen, ZJ",1,1,1.0
"Le, H",1,0,0.0
"Tan, KK",2,1,0.5
"Wang, KN",1,1,1.0
"Tan, ES",1,0,0.0
"Zhao, CM",4,0,0.0
"Wu, Sz-Shyan",1,0,0.0
"Chen, Linda",1,0,0.0
"Wang, Danhua",1,0,0.0
"Long, M.",2,0,0.0
"Wu, Henry",1,0,0.0
"Wang, D",1,0,0.0
"Wu, L.",1,0,0.0
"Pan, RJ",1,0,0.0
"Ban, N",1,0,0.0
"Chang, Shine",12,3,0.25
"Du, Yunling",1,0,0.0
"Tan, Kok Kiong",1,0,0.0
"Cheng, L.",1,0,0.0
"Liu, Edward",1,0,0.0
Di Meng,1,0,0.0
"Liu, Yongcan",9,2,0.2222
"Lin, GA",1,0,0.0
"Huang, Zhihuan Jennifer",1,0,0.0
"Wang, M.",1,0,0.0
"Yun, John T.",3,0,0.0
"Le, Huy",4,0,0.0
"Bi, Hilda",1,0,0.0
"Huang, WH",1,1,1.0
"Huang, WY",1,1,1.0
"Wang, Yan",7,2,0.2857
"Bing, Thomas J.",1,0,0.0
"Wu, Su Hui",1,0,0.0
"Chang, Ni",2,0,0.0
"Lu, Yun",3,0,0.0
