Author,Articles,Year Range,Average
Ai, Angela,1,2022-2022,1
Ai, Haiyang,1,2017-2017,1
An Thi Ha,1,2018-2018,1
An, A,1,2001-2001,1
An, Bomi,3,2020-2022,1
An, Brian,2,2018-2019,1
An, Brian P.,16,2013-2024,1.33
An, Crystal,1,2022-2022,1
An, Gia Khuong,1,2024-2024,1
An, Heejung,1,2011-2011,1
An, Irene Shidong,3,2013-2024,0.25
An, Ji,1,2017-2017,1
An, Jihoun,1,2021-2021,1
An, Jiwoo,4,2020-2022,1.33
An, L. C.,1,2011-2011,1
An, Lawrence C.,2,2009-2013,0.4
An, Linh,1,2023-2023,1
An, Mihyang,1,2021-2021,1
An, Minjeong,1,2011-2011,1
An, Ping,1,2024-2024,1
An, Shuhua,2,2015-2017,0.67
An, Sohyun,2,2016-2019,0.5
An, Song,1,2024-2024,1
An, Song A.,4,2011-2022,0.33
An, Soonok,2,2023-2024,1
An, Soyoun,1,2023-2023,1
An, Tuyin,1,2020-2020,1
An, Vinna,1,2022-2022,1
An, Yunjo,4,2021-2024,1
An, Yun-Jo,1,2017-2017,1
An, Zhe Gigi,1,2020-2020,1
Anh Hai Le,2,2019-2022,0.5
Ao, Caroline F. Finch,1,2022-2022,1
Ba, Mouhamadou Lamine,1,2019-2019,1
Bai, Emily Li,1,2024-2024,1
Bai, Haiyan,4,2008-2015,0.5
Bai, Heesoon,1,2023-2023,1
Bai, Hua,1,2019-2019,1
Bai, Ji Dong K.,1,2020-2020,1
Bai, Jieru,1,2016-2016,1
Bai, Jihong,1,2020-2020,1
Bai, Jin-Bing,2,2018-2021,0.5
Bai, JYH,1,2024-2024,1
Bai, L,1,1998-1998,1
Bai, Li,11,2011-2024,0.79
Bai, Lu,1,2023-2023,1
Bai, Y,1,2004-2004,1
Bai, Yang,2,2022-2024,0.67
Bai, Yeon,1,2024-2024,1
Bai, Yifan,1,2023-2023,1
Bai, Yiping,2,2023-2023,2
Ban, Kenneth,1,2024-2024,1
Ban, Kenneth H.,1,2024-2024,1
Ban, Maricela,1,2022-2022,1
Ban, N,1,2006-2006,1
Ban, Nobutaro,6,2009-2021,0.46
Ban, Ruth A.,1,2020-2020,1
Ban, Shuo,1,2024-2024,1
Bao, Dat,1,2022-2022,1
Bao, Diep Quoc,2,2023-2023,2
Bao, Jianan,1,2019-2019,1
Bao, L,1,2002-2002,1
Bao, Lei,18,2008-2024,1.06
Bao, Liangmei,1,2009-2009,1
Bao, Rui,1,2015-2015,1
Bao, Sonia Nair,2,2022-2023,1
Bao, Yu,3,2023-2024,1.5
Ben, Merav Hayak,1,2022-2022,1
Bi, Bilkay,1,2024-2024,1
Bi, Catherine,1,2024-2024,1
Bi, Fandi,1,2020-2020,1
Bi, Henry H.,2,2018-2020,0.67
Bi, Hilda,1,2006-2006,1
Bi, Mark,1,2023-2023,1
Bi, Nicky Chang,1,2023-2023,1
Bi, Shakila,1,2022-2022,1
Bi, Xiaoyu,2,2016-2017,1
Bian, Hui,4,2007-2017,0.36
Bian, Jing,1,2018-2018,1
Bian, Linkan,1,2022-2022,1
Bian, Xinyi,1,2020-2020,1
Bian, Xu,1,2015-2015,1
Bian, Zhiyun,1,2024-2024,1
Bie, Maria Bouverne-De,1,2006-2006,1
Bing, Eric G.,1,2024-2024,1
Bing, Khuan Wai,1,2015-2015,1
Bing, Thomas J.,1,2006-2006,1
Bo, Ai,1,2018-2018,1
Bo, Jin,2,2023-2024,1
Bo, Linh K.,1,2024-2024,1
Bo, Rosa Maria,1,2023-2023,1
Bu, Julia,1,2024-2024,1
Bu, Liping,1,2020-2020,1
Bui Thi Thuy Hang,1,2017-2017,1
Cai, Bei,1,2021-2021,1
Cai, Bohong,1,2019-2019,1
Cai, Fei,1,2023-2023,1
Cai, George,1,2021-2021,1
Cai, Huixiang,1,2019-2019,1
Cai, Huiying,1,2024-2024,1
Cai, Jane,1,2012-2012,1
Cai, Jinfa,16,2005-2024,0.8
Cai, Kuihua,1,2015-2015,1
Cai, Li,3,2014-2024,0.27
Cai, Liangliang,1,2019-2019,1
Cai, Liping,1,2021-2021,1
Cai, Liping A.,3,2014-2021,0.38
Cai, Liping A. A.,1,2024-2024,1
Cai, Na,1,2024-2024,1
Cai, Qijie,4,2019-2024,0.67
Cai, Qijie Vicky,2,2023-2023,2
Cai, Qinghong,1,2021-2021,1
Cai, Shengrong,2,2012-2021,0.2
Cai, Shiying,1,2022-2022,1
Cai, WeiWei,1,2015-2015,1
Cai, Xizhen,1,2016-2016,1
Cai, Y,1,2002-2002,1
Cai, Y.,1,2024-2024,1
Cai, Yingqi,1,2019-2019,1
Cai, Yiyu,1,2023-2023,1
Cai, Yuzhuo,16,2006-2024,0.84
Cai, Zhiqiang,1,2018-2018,1
Cao, Anxo,1,2020-2020,1
Cao, Boen,1,2021-2021,1
Cao, Chen,1,2009-2009,1
Cao, Dennis D.,1,2022-2022,1
Cao, Dongmei,1,2021-2021,1
Cao, Feng,1,2023-2023,1
Cao, Guangming,1,2022-2022,1
Cao, Hongtao,1,2024-2024,1
Cao, Huan,2,2022-2024,0.67
Cao, Huantian,1,2011-2011,1
Cao, Huy Tuong,1,2022-2022,1
Cao, Jane N.,1,2018-2018,1
Cao, Jeffrey Q.,1,2022-2022,1
Cao, Joanne T.,2,2019-2022,0.5
Cao, Jun,1,2016-2016,1
Cao, Lei,2,2022-2024,0.67
Cao, Li,7,2007-2023,0.41
Cao, Ling,1,2021-2021,1
Cao, LiuHui,1,2014-2014,1
Cao, Minsong,1,2021-2021,1
Cao, Nguyen,1,2019-2019,1
Cao, Peijuan,1,2021-2021,1
Cao, Q.,1,2022-2022,1
Cao, Thuy Hong,1,2021-2021,1
Cao, Tingting,2,2015-2017,0.67
Cao, Wei,1,2012-2012,1
Cao, Xiaoxia,1,2021-2021,1
Cao, Yanling,1,2019-2019,1
Cao, Yanmei,1,2019-2019,1
Cao, Yi,1,2020-2020,1
Cao, Yingxia,4,2011-2019,0.44
Cao, Yiqian (Katherine),2,2019-2024,0.33
Cao, Yiyuan,1,2019-2019,1
Cao, Yujie,1,2023-2023,1
Cao, Zhaoyi,1,2018-2018,1
Cao, Zihuan,1,2020-2020,1
Cao, Zijing,1,2024-2024,1
Cen, Steven,1,2024-2024,1
Cen, Suzan,1,2017-2017,1
