Country,AuthorCount
United States,5356
Canada,847
South Korea,696
Australia,637
Malaysia,303
China,281
Netherlands,188
United Kingdom,156
Taiwan,154
Vietnam,135
Japan,129
India,87
Singapore,74
Germany,72
Hong Kong,49
France,41
New Zealand,35
Russia,20
Poland,20
Thailand,19
Denmark,17
Spain,16
Belgium,12
Finland,11
Turkey,10
Ireland,9
Saudi Arabia,8
Cambodia,7
Switzerland,7
Israel,7
South Africa,6
Norway,6
Austria,6
Iran,5
Indonesia,5
Sweden,5
Bangladesh,4
Italy,4
Qatar,3
Jordan,3
Philippines,3
Morocco,2
Greece,2
Pakistan,2
Egypt,2
Oman,1
Kuwait,1
Sri Lanka,1
Hungary,1
Mexico,1
Chile,1
Czech Republic,1
Bulgaria,1
Kenya,1
Colombia,1
Slovenia,1
