Author,Articles,Year Range,Average
"Yu, Gracia Fe B.",5,2020-2020,5
"Tang, Hengtao",19,2021-2024,4.75
"Tan, Chee-Seng",4,2019-2019,4
"Li, Mingyu",4,2024-2024,4
"Li, Yangqiuting",13,2021-2024,3.25
"Zhu, Chang",53,2008-2024,3.12
"Ding, Ai-Chu Elisha",3,2024-2024,3
"Ha, Tu Anh",3,2024-2024,3
"Fan, Jason",3,2020-2020,3
"Jiang, Dan",3,2024-2024,3
"Fan, Shirley",3,2018-2018,3
"Kou, Maybelle",3,2021-2021,3
"Chen, Lin",3,2024-2024,3
"Ye, Dan",3,2022-2022,3
"Jia, Dongdong",3,2007-2007,3
"Wu, I-Chen",3,2019-2019,3
"Li, Shangman",3,2024-2024,3
"Chen, Xiao-Yin",6,2023-2024,3
"Xu, Xiao",3,2024-2024,3
"Zhu, Yuanyuan",3,2024-2024,3
"Wang, Yanbing",3,2021-2021,3
"Chen, Tim",3,2019-2019,3
"Wang, Xiqiao",3,2017-2017,3
"Weng, Wenting",3,2021-2021,3
"Hu, Shouping",51,2007-2024,2.83
"Xu, Di",39,2011-2024,2.79
"Chen, Lilan",11,2021-2024,2.75
"Han, Jaeyun",11,2021-2024,2.75
"Liu, Qian",11,2021-2024,2.75
"Long, Holly",13,2020-2024,2.6
"Gao, Xuesong (Andy)",13,2020-2024,2.6
"Zhang, Lawrence Jun",38,2010-2024,2.53
"Zhang, Ling",10,2021-2024,2.5
"Zhu, Gaoxia",15,2019-2024,2.5
"Yang, Lili",5,2021-2022,2.5
"Huang, Xiaoshan",5,2023-2024,2.5
"Liang, Yifei",5,2023-2024,2.5
"Hu, Xiaodan",24,2015-2024,2.4
"Li, Shan",14,2019-2024,2.33
"Le, Ha Van",7,2022-2024,2.33
"Dang, Thi Ngoc Yen",7,2022-2024,2.33
"Zhu, Meina",16,2018-2024,2.29
"Chen, Juebei",9,2021-2024,2.25
"Tai, Joanna",26,2013-2024,2.17
"Yao, Christina W.",13,2019-2024,2.17
"Wang, Xueli",34,2009-2024,2.12
"Luo, Tian",25,2013-2024,2.08
"Du, Xiang-Yun",39,2006-2024,2.05
"Su, J",2,2005-2005,2
"Su, Junzhu",4,2023-2024,2
"Song, Bee Lian",2,2022-2022,2
"Song, Inyoung",2,2024-2024,2
