Author,Main_Subject,Humanities_Social_Science,Economics_Management,Science_Technology,Medicine_Agriculture,Other,Total_Papers
"Chao, Tracy",Humanities & Social Sciences,2,0,0,0,0,2
"Yan, D",Medicine & Agriculture,0,0,0,1,0,1
"Yang, GZ",Medicine & Agriculture,0,0,0,1,0,1
"Lang, F",Medicine & Agriculture,1,0,0,1,0,2
"Li, X.",Humanities & Social Sciences,2,0,0,0,0,2
"Chao, Chia-An",Humanities & Social Sciences,1,0,0,0,0,1
"He, Q",Humanities & Social Sciences,1,0,0,0,0,1
"Cheng, YW",Humanities & Social Sciences,1,0,0,0,0,1
"Zhang, L",Humanities & Social Sciences,1,0,0,0,0,1
"Weng, HY",Medicine & Agriculture,0,0,0,1,0,1
"Chen, BM",Science & Technology,0,0,2,0,0,2
"Chen, JP",Science & Technology,0,0,2,0,0,2
"Tan, KC",Science & Technology,0,0,3,0,0,3
"Zhang, J",Science & Technology,1,0,2,0,0,3
"Shen, LN",Economics & Management,0,1,0,0,0,1
"Wang, Ting",Humanities & Social Sciences,7,0,0,0,0,7
"Zhang, Shujie",Humanities & Social Sciences,1,0,0,0,0,1
"Xu, WL",Science & Technology,0,0,1,0,1,2
"Li, Jun",Humanities & Social Sciences,2,0,0,0,0,2
"Yan, Miu",Humanities & Social Sciences,1,0,0,0,0,1
"Cai, Jinfa",Humanities & Social Sciences,16,0,0,0,0,16
"He, Yan",Science & Technology,0,0,2,0,0,2
"Long, JF",Humanities & Social Sciences,1,0,0,0,0,1
"Tai, RH",Humanities & Social Sciences,3,0,0,0,0,3
"Qiu, Xuemei",Humanities & Social Sciences,1,0,0,0,0,1
"Liu, JM",Science & Technology,0,0,1,0,0,1
"Hu, Jing",Humanities & Social Sciences,1,0,0,0,0,1
"Ma, XG",Humanities & Social Sciences,1,0,0,0,0,1
"Zhou, MM",Humanities & Social Sciences,1,0,0,0,0,1
"Chen, Louis",Humanities & Social Sciences,1,0,0,0,0,1
"Wei, Yingqi",Humanities & Social Sciences,1,0,0,0,0,1
"Chen, Eva",Humanities & Social Sciences,1,0,0,0,0,1
"Chang, YJ",Humanities & Social Sciences,1,0,0,0,0,1
"Liao, CY",Humanities & Social Sciences,1,0,0,0,0,1
"Zhou, Shufeng",Medicine & Agriculture,0,0,0,1,0,1
"Chang, JC",Humanities & Social Sciences,1,0,0,0,0,1
"Chao, PC",Medicine & Agriculture,0,0,0,1,0,1
"Chen, PH",Science & Technology,0,0,1,0,0,1
"Gan, YH",Medicine & Agriculture,0,0,0,1,0,1
"Tang, BL",Medicine & Agriculture,0,0,0,2,0,2
"Fang, Xiang",Humanities & Social Sciences,1,0,0,0,0,1
"Dong, ZY",Science & Technology,0,0,1,0,0,1
"Ji, Peter",Humanities & Social Sciences,2,0,0,0,0,2
"Huang, Jiunn",Humanities & Social Sciences,1,0,0,0,0,1
"Duan, LP",Humanities & Social Sciences,1,0,0,0,0,1
"Tang, TS",Humanities & Social Sciences,2,0,0,1,0,3
"Ha, Sang-Jin",Humanities & Social Sciences,1,0,0,0,0,1
"Teng, FYH",Medicine & Agriculture,0,0,0,1,0,1
"Chen, WF",Science & Technology,0,0,1,0,0,1
"Wang, YY",Humanities & Social Sciences,1,0,0,0,0,1
"Zhou, W.",Humanities & Social Sciences,1,0,0,0,0,1
"Kang, Soo K.",Humanities & Social Sciences,1,0,0,0,0,1
"Wang, YK",Humanities & Social Sciences,1,0,0,0,0,1
"Guan, JM",Humanities & Social Sciences,2,0,0,0,0,2
"Hui, YJ",Humanities & Social Sciences,1,0,0,0,0,1
"Zhang, Dalun",Humanities & Social Sciences,5,0,0,0,0,5
